primes:,[+2],bit:,[10],n:[0],Card:C2,bit:,1 0100 0000 0000 0000
primes:,[+3],bit:,[11],n:[1],Card:C3,bit:,10 0100 0001 0000 0000
primes:,[+5],bit:,[101],n:[2],Card:C4,bit:,100 0100 0010 0000 0000
primes:,[+7],bit:,[111],n:[3],Card:C5,bit:,1000 0100 0011 0000 0000
primes:,[+11],bit:,[1011],n:[4],Card:C6,bit:,10000 0100 0100 0000 0000
primes:,[+13],bit:,[1101],n:[5],Card:C7,bit:,100000 0100 0101 0000 0000
primes:,[+17],bit:,[10001],n:[6],Card:C8,bit:,1000000 0100 0110 0000 0000
primes:,[+19],bit:,[10011],n:[7],Card:C9,bit:,10000000 0100 0110 0000 0000
primes:,[+23],bit:,[10111],n:[8],Card:CT,bit:,100000000 0100 1000 0000 0000
primes:,[+29],bit:,[11101],n:[9],Card:CJ,bit:,1000000000 0100 1000 0000 0000
primes:,[+31],bit:,[11111],n:[10],Card:CQ,bit:,10000000000 0100 0000 0000 0000
primes:,[+37],bit:,[100101],n:[11],Card:CK,bit:,100000000000 0100 0000 0000 0000
primes:,[+41],bit:,[101001],n:[12],Card:CA,bit:,1000000000000 0100 0000 0000 0000
primes:,[+2],bit:,[10],n:[13],Card:D2,bit:,1 0100 0000 0000 0000
primes:,[+3],bit:,[11],n:[14],Card:D3,bit:,10 0100 0001 0000 0000
primes:,[+5],bit:,[101],n:[15],Card:D4,bit:,100 0100 0010 0000 0000
primes:,[+7],bit:,[111],n:[16],Card:D5,bit:,1000 0100 0011 0000 0000
primes:,[+11],bit:,[1011],n:[17],Card:D6,bit:,10000 0100 0100 0000 0000
primes:,[+13],bit:,[1101],n:[18],Card:D7,bit:,100000 0100 0101 0000 0000
primes:,[+17],bit:,[10001],n:[19],Card:D8,bit:,1000000 0100 0110 0000 0000
primes:,[+19],bit:,[10011],n:[20],Card:D9,bit:,10000000 0100 0110 0000 0000
primes:,[+23],bit:,[10111],n:[21],Card:DT,bit:,100000000 0100 1000 0000 0000
primes:,[+29],bit:,[11101],n:[22],Card:DJ,bit:,1000000000 0100 1000 0000 0000
primes:,[+31],bit:,[11111],n:[23],Card:DQ,bit:,10000000000 0100 0000 0000 0000
primes:,[+37],bit:,[100101],n:[24],Card:DK,bit:,100000000000 0100 0000 0000 0000
primes:,[+41],bit:,[101001],n:[25],Card:DA,bit:,1000000000000 0100 0000 0000 0000
primes:,[+2],bit:,[10],n:[26],Card:H2,bit:,1 0010 0000 0000 0000
primes:,[+3],bit:,[11],n:[27],Card:H3,bit:,10 0010 0001 0000 0000
primes:,[+5],bit:,[101],n:[28],Card:H4,bit:,100 0010 0010 0000 0000
primes:,[+7],bit:,[111],n:[29],Card:H5,bit:,1000 0010 0011 0000 0000
primes:,[+11],bit:,[1011],n:[30],Card:H6,bit:,10000 0010 0100 0000 0000
primes:,[+13],bit:,[1101],n:[31],Card:H7,bit:,100000 0010 0101 0000 0000
primes:,[+17],bit:,[10001],n:[32],Card:H8,bit:,1000000 0010 0110 0000 0000
primes:,[+19],bit:,[10011],n:[33],Card:H9,bit:,10000000 0010 0110 0000 0000
primes:,[+23],bit:,[10111],n:[34],Card:HT,bit:,100000000 0010 1000 0000 0000
primes:,[+29],bit:,[11101],n:[35],Card:HJ,bit:,1000000000 0010 1000 0000 0000
primes:,[+31],bit:,[11111],n:[36],Card:HQ,bit:,10000000000 0010 0000 0000 0000
primes:,[+37],bit:,[100101],n:[37],Card:HK,bit:,100000000000 0010 0000 0000 0000
primes:,[+41],bit:,[101001],n:[38],Card:HA,bit:,1000000000000 0000 0000 0000 0000
primes:,[+2],bit:,[10],n:[39],Card:S2,bit:,1 0001 0000 0000 0000
primes:,[+3],bit:,[11],n:[40],Card:S3,bit:,10 0001 0001 0000 0000
primes:,[+5],bit:,[101],n:[41],Card:S4,bit:,100 0001 0010 0000 0000
primes:,[+7],bit:,[111],n:[42],Card:S5,bit:,1000 0001 0011 0000 0000
primes:,[+11],bit:,[1011],n:[43],Card:S6,bit:,10000 0001 0100 0000 0000
primes:,[+13],bit:,[1101],n:[44],Card:S7,bit:,100000 0001 0101 0000 0000
primes:,[+17],bit:,[10001],n:[45],Card:S8,bit:,1000000 0001 0110 0000 0000
primes:,[+19],bit:,[10011],n:[46],Card:S9,bit:,10000000 0001 0110 0000 0000
primes:,[+23],bit:,[10111],n:[47],Card:ST,bit:,100000000 0001 1000 0000 0000
primes:,[+29],bit:,[11101],n:[48],Card:SJ,bit:,1000000000 0001 1000 0000 0000
primes:,[+31],bit:,[11111],n:[49],Card:SQ,bit:,10000000000 0001 0000 0000 0000
primes:,[+37],bit:,[100101],n:[50],Card:SK,bit:,100000000000 0000 0000 0000 0000
primes:,[+41],bit:,[101001],n:[51],Card:SA,bit:,1000000000000 0000 0000 0000 0000
